1,	0,	0,	0
2,	0,	0,	0
3,	0,	0,	0
4,	0,	0,	0
5,	0,	0,	0
6,	0,	0,	0
7,	0,	0,	0
8,	0,	0,	0
9,	0,	0,	0
10,	0,	0,	0
11,	0,	0,	0
12,	0,	0,	0
13,	0,	0,	0
14,	0,	0,	0
15,	0,	0,	0
16,	0,	0,	0
17,	0,	0,	0
18,	0,	0,	0
19,	0,	0,	0
20,	0,	0,	0
21,	0,	0,	0
22,	0,	0,	0
23,	0,	0,	0
24,	0,	0,	0
25,	1,	931,	447
26,	2,	715,	670
27,	1,	788,	638
28,	2,	1160,	476
29,	0,	0,	0
30,	0,	0,	0
31,	0,	0,	0
32,	0,	0,	0
33,	1,	588,	251
34,	0,	0,	0
35,	2,	442,	189
36,	2,	574,	248
37,	2,	610,	268
38,	1,	197,	165
39,	2,	587,	250
40,	1,	435,	184
41,	2,	134,	674
42,	1,	1285,	574
43,	1,	1015,	646
44,	1,	1517,	566
45,	2,	1145,	637
46,	2,	1758,	510
47,	1,	1428,	564
48,	0,	0,	0
49,	0,	0,	0
50,	0,	0,	0
51,	1,	449,	447
52,	1,	1029,	343
53,	1,	1328,	266
54,	1,	381,	364
55,	2,	1399,	267
56,	0,	0,	0
57,	0,	0,	0
58,	0,	0,	0
59,	0,	0,	0
60,	0,	0,	0
