497, 495 
512, 505 
1003, 543 
1004, 542 
1005, 541 
1020, 543 
1025, 544 
1027, 545 
1034, 544 
1037, 545 
1036, 545 
976, 546 
976, 543 
975, 542 
965, 538 
962, 537 
961, 536 
960, 536 
955, 535 
952, 534 
949, 532 
942, 532 
942, 533 
943, 533 
939, 533 
932, 533 
928, 531 
925, 530 
915, 530 
909, 531 
904, 533 
900, 533 
898, 535 
897, 536 
894, 536 
795, 557 
795, 558 
793, 559 
771, 564 
766, 564 
764, 564 
764, 564 
773, 563 
772, 564 
768, 564 
762, 563 
758, 565 
756, 567 
758, 565 
758, 570 
753, 573 
757, 574 
759, 574 
756, 579 
754, 581 
755, 579 
755, 578 
758, 571 
762, 569 
763, 568 
768, 570 
769, 571 
770, 571 
767, 570 
758, 577 
756, 582 
756, 587 
773, 591 
780, 593 
765, 597 
762, 599 
822, 591 
798, 614 
806, 614 
814, 613 
828, 614 
828, 621 
830, 622 
838, 630 
843, 637 
852, 653 
856, 642 
873, 644 
866, 645 
861, 643 
860, 644 
874, 645 
886, 648 
898, 649 
905, 649 
908, 648 
920, 645 
928, 638 
936, 639 
933, 635 
938, 634 
940, 634 
958, 636 
969, 642 
972, 653 
1007, 655 
1010, 659 
1019, 667 
1034, 676 
1045, 685 
1057, 691 
1061, 693 
1069, 695 
1079, 702 
1092, 705 
1104, 707 
1108, 710 
1109, 711 
1124, 714 
1139, 718 
1153, 724 
1167, 730 
1179, 734 
1183, 736 
1195, 738 
1208, 740 
1225, 741 
1243, 745 
1259, 750 
1265, 752 
1277, 755 
1292, 760 
1311, 763 
1329, 767 
1349, 771 
1355, 773 
1370, 776 
1389, 780 
1410, 785 
1432, 791 
1456, 795 
1464, 797 
1479, 799 
1496, 786 
1511, 788 
1534, 774 
1556, 769 
1564, 767 
1583, 767 
1601, 770 
1621, 763 
1638, 759 
1659, 759 
1666, 758 
1675, 758 
1684, 760 
1696, 770 
1713, 766 
1729, 764 
1734, 764 
1750, 765 
1767, 768 
1788, 771 
1807, 777 
1813, 785 
1814, 787 
1823, 791 
1836, 793 
1845, 793 
1857, 796 
1750, 755 
1760, 754 
1771, 753 
1778, 755 
1784, 755 
1785, 755 
1792, 755 
1800, 756 
